created_at,text
2017-09-12 00:56:02,b'Just Invest 5 minutes here in this article and you will know  -  How to use #Git version control for #DataScience\xe2\x80\xa6 https://t.co/5PY2sxqSGd'
2017-09-12 00:55:20,b'RT @Informatica: Here\xe2\x80\x99s how the @cubs use Informatica to leverage data science to boost their business https://t.co/QoNkofqvsg \n\n@connerfor\xe2\x80\xa6'
2017-09-12 00:54:31,b'RT @erikbryn: New degree @MIT: computer science and economics to prepare students for designing marketplaces \n#2MA #MIT \n\nhttps://t.co/5Bby\xe2\x80\xa6'
2017-09-12 00:54:16,b'Data Science is next big thing in decision-making https://t.co/7qHwFIfPIX #Economics https://t.co/w2YnpeC03o'
2017-09-12 00:53:49,b'RT @KirkDBorne: How people who have a basic knowledge of R can learn #Python for #DataScience: https://t.co/PigmiMFafR #abdsc #BigData #Rst\xe2\x80\xa6'
2017-09-12 00:53:15,b'Data Science is next big thing in decision-making https://t.co/MeOM3DlP5W \xf0\x9f\x97\xa3#Opines on #BigData'
2017-09-12 00:52:42,b'RT @Jon_W_Moore: We are looking to hire somebody to help organize long-term data on salmon @SFU_Science @E2ocean \nhttps://t.co/aANO6zsx3S\np\xe2\x80\xa6'
2017-09-12 00:52:06,b'Online textbook on data visualization with the ggplot2 package https://t.co/7Nvq7RmwUC #dev'
2017-09-12 00:52:05,b'\xe2\x80\x9cThe 7 Steps of Machine Learning\xe2\x80\x9d by @yufengg https://t.co/YMUjpEFXtD'
2017-09-12 00:52:01,b'Trying to decide if #SPSSModeler is for you? Test drive it at the #free 9/19 #SanFrancisco workshop:\xe2\x80\xa6 https://t.co/yMaacaYsw1'
2017-09-12 00:51:10,b'RT @Jon_W_Moore: We are looking to hire somebody to help organize long-term data on salmon @SFU_Science @E2ocean \nhttps://t.co/aANO6zsx3S\np\xe2\x80\xa6'
2017-09-12 00:51:06,b'Online textbook on data visualization with the ggplot2 package https://t.co/g7bz7IYtQU https://t.co/bqZLhQbbNY'
2017-09-12 00:51:03,b'Not too long until the Sacramento Women in Data Science &amp; Tech tomorrow. Come learn about A Week of Code: https://t.co/GuGkkswAbz'
2017-09-12 00:50:41,b'RT @Crommunist: This piece about men in STEM who actively deny the evidence of gender bias in STEM is depressing and fascinating: https://t\xe2\x80\xa6'
2017-09-12 00:50:08,b'Delivery Manager DACH @Talend Remote https://t.co/gi3m5ykPJt #Cloud #CustomerSuccess #projectmanagement'
